actual_sex	Rx	Ry
male	0.4915	0.0922
male	0.4915	0.1111
male	0.4915	0.1131
male	0.4914	0.1364
male	0.4912	0.1277
male	0.4912	0.2
male	0.4911	0.1319
male	0.491	0.1429
male	0.4908	0.1156
male	0.4906	0.2
male	0.4904	0.1
male	0.4897	0.1163
male	0.4896	0.1152
male	0.4896	0.128
male	0.4896	0.131
male	0.4892	0.125
male	0.4891	0.1522
male	0.4888	0.1228
male	0.4888	0.1633
male	0.4885	0.1246
male	0.4885	0.2941
male	0.4882	0.1154
male	0.4882	0.25
male	0.4881	0.1
male	0.4881	0.1818
male	0.4879	0.0952
male	0.4879	0.3333
male	0.4878	0.141
male	0.4876	0.2105
male	0.4873	0.1283
male	0.4872	0.0968
male	0.4872	0.1435
male	0.4871	0.125
male	0.4866	0.2857
male	0.4865	0.1117
male	0.4864	0.1242
male	0.4863	0.1081
male	0.4863	0.25
male	0.4862	0.1372
male	0.486	0.1122
male	0.486	0.1667
male	0.4858	0.12
male	0.4858	0.1297
male	0.4857	0.093
male	0.4855	0.1249
male	0.485	0.1
male	0.4849	0.0876
male	0.4849	0.1191
male	0.4848	0.1055
male	0.4848	0.1358
male	0.4847	0.1217
male	0.4847	0.146
male	0.4846	0.1264
male	0.4845	0.1176
male	0.4844	0.1126
male	0.4844	0.1139
male	0.4844	0.1538
male	0.4843	0.093
male	0.4843	0.1245
male	0.4842	0.1226
male	0.4841	0.1192
male	0.484	0.2
male	0.4837	0.125
male	0.4836	0.122
male	0.4836	0.1222
male	0.4835	0.1149
male	0.4833	0.1182
male	0.4831	0.093
male	0.483	0.1149
male	0.483	0.1548
male	0.4828	0.1315
male	0.4827	0.1395
male	0.4826	0.1136
male	0.4826	0.1151
male	0.4826	0.1429
male	0.4825	0.1267
male	0.4825	0.1429
male	0.4824	0.1246
male	0.4822	0.1175
male	0.4822	0.1419
male	0.4821	0.0769
male	0.4821	0.0952
male	0.4821	0.1219
male	0.4821	0.1875
male	0.482	0.1213
male	0.4818	0.116
male	0.4818	0.1667
male	0.4817	0.1174
male	0.4817	0.1249
male	0.4816	0.1208
male	0.4816	0.1224
male	0.4816	0.1225
male	0.4816	0.1333
male	0.4815	0.1124
male	0.4815	0.125
male	0.4814	0.1231
male	0.4814	0.1271
male	0.4813	0.1182
male	0.4813	0.1197
male	0.4813	0.1249
male	0.4811	0.1129
male	0.4811	0.1205
male	0.4811	0.1214
male	0.4811	0.1226
male	0.4811	0.1306
male	0.4811	0.2
male	0.481	0.1243
male	0.4809	0.1193
male	0.4809	0.1277
male	0.4808	0.1188
male	0.4806	0.1356
male	0.4805	0.1212
male	0.4805	0.1243
male	0.4805	0.1429
male	0.4804	0.1222
male	0.4803	0.1181
male	0.4803	0.1213
male	0.4802	0.1473
male	0.4801	0.1188
male	0.4801	0.1214
male	0.48	0.1171
male	0.4799	0.1167
male	0.4797	0.1818
male	0.4796	0.1186
male	0.4796	0.1213
male	0.4796	0.1217
male	0.4796	0.1245
male	0.4795	0.1146
male	0.4794	0.1129
male	0.4793	0.1227
male	0.4792	0.1103
male	0.4792	0.114
male	0.4792	0.1211
male	0.4792	0.1212
male	0.4792	0.1238
male	0.4791	0.1121
male	0.4791	0.1222
male	0.4791	0.1232
